,zipcode,city,county,population,medianprice,activelistingcount,avgprice,totalrentals,ratio,latitudes,longitudes
89,32210,Jacksonville,Duval County,62048,227450.0,92,1316.69,573,14.4,30.2687,-81.7473
90,90250,Hawthorne,Los Angeles County,97072,821999.5,21,2502.51,203,27.37,33.9143,-118.3493
91,93312,Bakersfield,Kern County,61628,462450.0,34,1992.15,81,19.34,35.3935,-119.1205
92,85326,Buckeye,Maricopa County,63317,403000.0,89,1863.55,241,18.02,33.3703,-112.5838
93,63376,St. Peters,St. Charles County,75395,267450.0,25,1532.05,60,14.55,38.7802,-90.6228
94,94538,Fremont,Alameda County,67474,1039499.5,8,2629.53,131,32.94,37.5308,-121.9712
95,29445,Goose Creek,Berkeley County,59342,285600.0,35,1562.99,162,15.23,33.058,-80.0101
96,19143,Philadelphia,Philadelphia County,64630,185000.0,135,1999.97,326,7.71,39.9448,-75.2288
97,11234,Brooklyn,Kings County,93534,773500.0,220,10307.1,152,6.25,40.6205,-73.9239
98,93274,Tulare,Tulare County,74000,369500.0,43,1401.75,30,21.97,36.2022,-119.338
99,78613,Cedar Park,Williamson County,81943,558000.0,54,2400.86,826,19.37,30.5052,-97.8203
100,77083,Houston,Harris County,78298,267500.0,50,1456.51,213,15.3,29.6947,-95.6511
101,75002,Allen,Collin County,71253,478250.0,36,2291.62,237,17.39,33.0934,-96.6454
102,33411,West Palm Beach,Palm Beach County,72546,434950.0,98,3043.3,496,11.91,26.6644,-80.1741
103,92804,Anaheim,Orange County,89915,779900.0,20,2617.05,95,24.83,33.8186,-117.9729
104,90006,Los Angeles,Los Angeles County,59576,930000.0,28,2575.4,238,30.09,34.0493,-118.2917
105,93230,Hanford,Kings County,67605,355000.0,68,1418.37,50,20.86,36.3314,-119.6491
106,28173,Waxhaw,Union County,59559,646095.0,52,2152.45,143,25.01,34.9251,-80.7278
107,11432,Jamaica,Queens County,64299,407000.0,109,3241.68,127,10.46,40.7119,-73.7944
108,47906,West Lafayette,Tippecanoe County,77702,325000.0,20,2032.22,361,13.33,40.444,-86.9237
109,76028,Burleson,Johnson County,70507,389900.0,60,1665.84,273,19.5,32.5316,-97.309
110,60639,Chicago,Cook County,88204,310950.0,34,1580.9,205,16.39,41.9202,-87.7535
111,78245,San Antonio,Bexar County,76518,349421.0,188,1481.71,427,19.65,29.4189,-98.6895
